,d:nalerthist,d:x3hsp,i:ssmagnr,d:t2_KN,i:magzpsciunc,i:maggaiabright,i:distpsnr2,i:distpsnr3,i:distpsnr1,i:fink_broker_version,d:mangrove_ang_dist,d:t2_SNIax,i:pid,d:t2_M-dwarf,i:dsnrms,i:bimagerat,i:chinr,i:programpi,i:candid,d:rf_kn_vs_nonkn,d:x4lac,d:t2_SNIbc,i:neargaiabright,i:sigmagnr,i:ranr,i:diffmaglim,i:elong,i:pdiffimfilename,i:ypos,i:distnr,i:objectidps1,i:nneg,i:ndethist,i:objectidps2,i:objectidps3,i:exptime,i:sigmapsf,i:maggaia,i:sumrat,d:t2_mu-Lens-Single,i:rfid,i:aimagerat,d:snn_sn_vs_all,d:Plx,i:clrcounc,i:sgmag1,i:clrcoeff,i:sgmag2,d:roid,i:sgmag3,i:isdiffpos,i:sgscore3,i:sgscore1,i:sgscore2,i:srmag3,i:schemavsn,i:sky,i:srmag2,i:srmag1,i:nmatches,i:simag1,i:simag2,i:simag3,i:programid,d:anomaly_score,i:jdstarthist,d:mangrove_2MASS_name,i:fwhm,i:drbversion,i:chipsf,i:dec,i:jdstartref,i:fid,i:magnr,i:ssnamenr,i:nid,i:sharpnr,i:clrrms,i:publisher,d:t2_RRL,i:field,d:mangrove_HyperLEDA_name,i:scorr,i:sigmagap,i:zpclrcov,i:magfromlim,d:cdsxmatch,i:objectId,i:clrmed,i:ssnrms,i:tooflag,d:DR3Name,d:snn_snia_vs_nonia,i:nmtchps,i:magdiff,d:mulens,i:neargaia,d:t2_AGN,d:t2_SNII,i:rbversion,i:mindtoedge,i:jdendhist,d:t2_EB,i:magpsf,i:magzpsci,d:rf_snia_vs_nonia,i:aimage,d:e_Plx,i:bimage,i:ra,i:rb,d:t2_TDE,i:zpmed,d:t2_SNIa,d:vsx,i:nbad,i:jd,i:xpos,i:drb,i:jdendref,i:decnr,i:seeratio,i:magap,i:magapbig,d:t2_SLSN-I,d:t2_SNIa-91bg,i:fink_science_version,i:dsdiff,d:gcvs,i:ncovhist,i:ssdistnr,i:rcid,i:tblid,d:t2_Mira,i:sigmagapbig,d:mangrove_lum_dist,i:magzpscirms,i:szmag3,i:classtar,i:nframesref,i:szmag1,i:szmag2,d:tracklet,v:classification,v:rate,v:sigma(rate),v:g-r,v:sigma(g-r),v:rate(g-r),v:sigma(rate(g-r)),v:lastdate,v:firstdate,v:lapse,v:constellation
0,1,Unknown,18.4,0,2.4110400000000002e-05,-999.0,12.631689,14.021799,7.566204,3.1,None,0,2500199062415,0,20.006714,0.3182119,0.865,Kulkarni,2500199062415015014,0,Unknown,0,-999.0,0.295,357.7696497,20.597448,1.0759625,ztf_20231106199039_000498_zg_c07_o_q1_scimrefdiffimg.fits,2956.0723,6.568894,112373577712767547,0,1,112373577706939477,112373577729228907,30,0.1333779,17.39101,1,0,498120124,0.34238409999999997,0,,2.98752e-05,-999.0,-0.080591,-999.0,3,-999.0,t,0.00125,0.019208299999999998,0.188653,22.0026,4.02,-0.15536619999999998,21.7698,21.48,249,21.0074,21.1076,21.8615,1,-0.38291217040000003,2460254.6990625,None,3.02,d6_m7,8.898219,3.64569,2458279.970752,1,23.095,2023RN3,2500,-0.112,0.33458899999999997,Fink,0,498,None,30.3998947144,0.0591,-2.491e-05,2.0905483,Unknown,ZTF23abpektz,0.811,40.40074,0,,0,7,-0.37737099999999996,0,23.974335,0,0,t17_f5_c3,124.4278,2460254.6990625,0,18.884272,26.346272,0,1.034,,0.961,357.7704817,0.5942857,0,26.284,0,Unknown,0,2460254.6990625,1555.5552,0.99998343,2458349.896227,3.6440392,0.82294124,18.5069,18.5016,0,0,5.2.0,-20.394028,Unknown,1292,0,24,14,0,0.0746,None,0.039495999999999996,21.393,0.07,16,20.6502,20.5795,,Solar System MPC,,,,,,,2023-11-06 04:46:39.000,2023-11-06 04:46:39.000,0,Pisces
1,1,Unknown,18.3,0,3.10779e-05,13.859714499999999,12.778714,21.119186,4.671158,3.1,None,0,2498189872415,0,18.170067,0.30524692000000003,0.731,Kulkarni,2498189872415015019,0,Unknown,0,63.527115,0.319,357.8310928,20.603458,1.09909,ztf_20231104189873_000498_zg_c07_o_q1_scimrefdiffimg.fits,2653.5796,6.211077,112483578335513859,0,1,112483578291092789,112483578345999407,30,0.1276874,13.859714499999999,1,0,498120124,0.33549383,0,,3.9474e-05,-999.0,-0.077612,-999.0,3,-999.0,t,0.0507083,0.633863,0.00166667,-999.0,4.02,0.4313377,22.1907,20.2749,250,22.0862,21.5471,22.0163,1,-0.38284846100000003,2460252.6898727,None,3.24,d6_m7,14.215544,3.7353575,2458279.970752,1,23.323,2023RN3,2498,-0.278,0.334914,Fink,0,498,None,29.6326541901,0.058600000000000006,-3.243e-05,2.1130579,Unknown,ZTF23aboqasq,0.733,41.20942,0,,0,3,-0.33313899999999996,0,63.527115,0,0,t17_f5_c3,426.9205,2460252.6898727,0,18.82354,26.31654,0,1.087,,0.989,357.8326747,0.5814286,0,26.258,0,Unknown,0,2460252.6898727,1320.0157,0.9999992999999999,2458349.896227,3.7346088,0.7599709,18.4904,18.4666,0,0,5.2.0,-23.039352,Unknown,1304,0,24,19,0,0.0726,None,0.042220999999999995,20.684,0.048,16,-999.0,21.1041,,Solar System MPC,,,,,,,2023-11-04 04:33:25.001,2023-11-04 04:33:25.001,0,Pisces
2,1,Unknown,18.3,0,6.12427e-05,-999.0,21.553339,28.304623,8.278851,3.1,None,0,2496169322415,0,10.521826,0.20966102,1.037,Kulkarni,2496169322415015017,0,Unknown,0,-999.0,0.34400000000000003,357.9078761,20.066072,1.0428456,ztf_20231102169329_000498_zg_c07_o_q1_scimrefdiffimg.fits,2314.803,10.151017,112593579046673553,0,1,112593579112884337,112603579122010968,30,0.10603437600000001,20.735434,1,0,498120124,0.21864407,0,,9.052080000000001e-05,-999.0,-0.067055,21.9588,3,21.8812,t,0.95025,0.143042,0.99875,21.6291,4.02,-0.2521187,21.2527,-999.0,207,21.9734,20.2055,21.4761,1,-0.38201124680000004,2460250.6693287,None,5.9,d6_m7,2.1078813,3.8297041,2458279.970752,1,23.208,2023RN3,2496,-0.277,0.323993,Fink,0,498,None,26.3080253601,0.06910000000000001,-6.844e-05,1.5715724999999998,Unknown,ZTF23aboetfd,0.659,28.5729,0,,0,3,-0.23899299999999998,0,21.560009,0,0,t17_f5_c3,765.6971,2460250.6693287,0,18.733494,26.338493,0,1.29,,1.237,357.9055325,0.5985714,0,26.295,0,Unknown,0,2460250.6693287,1060.7626,0.9999711,2458349.896227,3.8280651,0.5740005,18.4945,18.4928,0,0,5.2.0,-18.051075,Unknown,1296,0,24,17,0,0.0877,None,0.049386,21.1977,0.46900000000000003,16,21.2635,19.7072,,Solar System MPC,,,,,,,2023-11-02 04:03:50.000,2023-11-02 04:03:50.000,0,Pisces
3,1,Unknown,18.1,0,1.37118e-05,-999.0,9.625558,11.996912,7.714684,3.1,None,0,2480310403815,0,37.001278,0.3116883,0.934,Kulkarni,2480310403815015018,0,Unknown,0,-999.0,0.139,358.7982777,20.370945,1.0697917,ztf_20231017310405_000498_zr_c10_o_q3_scimrefdiffimg.fits,2958.6191,7.3885527,113623587984418675,0,1,113633587961642050,113633588022290595,30,0.08829792,20.233448,1,0,498120238,0.33344156,0,,1.98413e-05,-999.0,0.115371,-999.0,3,-999.0,t,0.79825,0.0,0.07150000000000001,22.0472,4.02,-0.2630144,20.7033,22.0699,284,22.0498,21.6307,21.6772,1,-0.3853094548,2460234.8104051,None,3.08,d6_m7,24.591055,4.6923955,2458291.96478,2,22.1,2023RN3,2480,0.06,0.32594799999999996,Fink,0,498,None,49.873134613,0.0328,-1.517e-05,2.7364452,Unknown,ZTF23abkwtml,0.677,78.86029,0,,0,8,-0.28842599999999996,0,29.008997,0,0,t17_f5_c3,121.8808,2460234.8104051,0,17.922926,26.322926,0,1.027,,0.96,358.7989819,0.7000000000000001,0,26.4015,0,Unknown,0,2460234.8104051,1436.7946,0.9999982,2458371.904444,4.6904397,0.8200046400000001,17.6345,17.6161,0,0,4.10.0,-41.859013,Unknown,1347,0,38,18,0,0.0405,None,0.044864,20.9109,0.8250000000000001,15,-999.0,-999.0,,Solar System MPC,,,,,,,2023-10-17 07:26:59.001,2023-10-17 07:26:59.001,0,Pisces
4,1,Unknown,18.1,0,2.31765e-05,-999.0,14.906376999999999,21.927969,5.8922877,3.1,None,0,2480208073815,0,23.466686,0.3222973,0.654,Kulkarni,2480208073815015010,0,Unknown,0,-999.0,0.20400000000000001,358.8062116,20.441053,1.0450734,ztf_20231017208079_000498_zg_c10_o_q3_scimrefdiffimg.fits,2924.8728,6.067653,113633588064556719,0,1,113633588024237803,113643588007890775,30,0.12169465,20.233448,1,0,498120138,0.33682433,0,,3.38792e-05,-999.0,-0.074503,21.9252,3,21.4396,t,0.993958,0.00125,0.005,20.374,4.02,-0.2647849,21.7993,21.9903,287,21.9413,21.9125,19.836100000000002,1,-0.38148118470000003,2460234.7080787,None,2.96,d6_m7,5.988586,4.69852,2458279.970752,1,22.765,2023RN3,2480,-0.064,0.328548,Fink,0,498,None,31.5047035217,0.056,-2.572e-05,2.1187527,Unknown,ZTF23abkuakn,0.666,46.832592,0,,0,6,-0.239868,0,21.925617,0,0,t17_f5_c3,155.6271,2460234.7080787,0,18.562168,26.294168,0,0.997,,0.9540000000000001,358.806713,0.79,0,26.244,0,Unknown,0,2460234.7080787,1397.0477,0.9999998999999999,2458349.896227,4.6968886,0.8633261999999999,18.3223,18.299,0,0,4.10.0,-23.365906,Unknown,1327,0,38,10,0,0.0695,None,0.040604999999999995,19.5855,0.338,16,-999.0,-999.0,,Solar System MPC,,,,,,,2023-10-17 04:59:38.000,2023-10-17 04:59:38.000,0,Pisces
5,1,Unknown,18.1,0,3.00554e-05,-999.0,14.169463,19.230791,11.825109,3.1,None,0,2478349293815,0,18.378065,0.3011696,0.48,Kulkarni,2478349293815015022,0,Unknown,0,-999.0,0.185,358.944017,20.272707,1.0475729,ztf_20231015349016_000498_zg_c10_o_q3_scimrefdiffimg.fits,2548.6667,11.466158,113763589451689676,0,1,113773589474675881,113773589392920830,30,0.12665135,20.191097,1,0,498120138,0.31549707,0,,4.70172e-05,-999.0,-0.050933,-999.0,3,-999.0,t,0.0025,0.677071,0.00666667,21.8384,3.3,-0.3219477,21.8044,22.0742,275,21.8197,21.2784,21.5113,1,-0.38128289390000003,2460232.849294,None,3.42,d6_m7,6.7906513,4.8108056999999995,2458279.970752,1,22.771,2023RN3,2478,-0.14200000000000002,0.317366,Fink,0,498,None,29.576089859,0.0591,-3.45e-05,2.0133064,Unknown,ZTF23abkdpvn,0.631,41.76081,0,,0,3,-0.212038,0,34.680923,0,0,t17_f5_c3,531.8333,2460232.849294,0,18.471437,26.266438,0,1.079,,1.03,358.9441293,0.75,0,26.24,0,Unknown,0,2460232.849294,888.0756,0.9999998999999999,2458349.896227,4.8140286,0.7762692,18.2594,18.157,0,0,4.10.0,-23.382746,Unknown,1282,0,38,22,0,0.0684,None,0.039542,21.1409,0.546,16,21.2689,20.8456,,Solar System MPC,,,,,,,2023-10-15 08:22:59.002,2023-10-15 08:22:59.002,0,Pisces
6,1,Unknown,18.1,0,1.45783e-05,-999.0,19.834461,20.510807,13.772658,3.1,None,0,2478254613815,0,33.38326,0.29222974,0.967,Kulkarni,2478254613815015015,0,Unknown,0,-999.0,0.039,358.9498177,20.225267,1.084393,ztf_20231015254618_000498_zr_c10_o_q3_scimrefdiffimg.fits,2528.993,13.6079855,113783589498024496,0,1,113773589474675881,113783589503457088,30,0.09402146,19.846575,1,0,498120238,0.31689188,0,,2.11975e-05,21.8705,0.12864399999999998,-999.0,3,-999.0,t,0.038,0.9793959999999999,0.00666667,-999.0,3.3,0.05860314,21.8044,20.602899999999998,284,19.2532,21.2784,21.8048,1,-0.3853094548,2460232.7546181,None,2.96,d6_m7,19.941017,4.8166047,2458291.96478,2,20.414999,2023RN3,2478,-0.048,0.32612199999999997,Fink,0,498,None,47.6670799255,0.039,-1.616e-05,2.5465682,Unknown,ZTF23abkbppd,0.671,67.91754,0,,0,3,-0.208697,0,13.772658,0,0,t17_f5_c3,551.5071,2460232.7546181,0,17.887398,26.327396,0,0.9380000000000001,,0.865,358.9515585,0.81,0,26.413,0,Unknown,0,2460232.7546181,887.3861,0.9999992999999999,2458371.904444,4.820016,0.8396224999999999,17.6787,17.6836,0,0,4.10.0,-34.534283,Unknown,1281,0,38,15,0,0.0495,None,0.048992999999999995,21.3937,0.981,15,18.6517,20.8456,,Solar System MPC,,,,,,,2023-10-15 06:06:39.004,2023-10-15 06:06:39.004,0,Pisces
7,1,Unknown,18.1,0,1.3533900000000001e-05,12.334865,12.430716,15.598308,11.805395,3.1,None,0,2476353273815,0,25.829473,0.3206081,0.917,Kulkarni,2476353273815015019,0,Unknown,0,49.88698,0.34,359.0962269,20.247202,1.0537407,ztf_20231013353264_000498_zr_c10_o_q3_scimrefdiffimg.fits,2112.8848,7.6054997,113923590973773986,0,2,113913590982796098,113913590943358390,30,0.09183390400000001,15.769147,1,0,498120238,0.33783785,0,,1.96862e-05,-999.0,0.120943,16.1627,3,-999.0,t,0.0037500000000000003,0.0047916700000000005,0.9991669999999999,-999.0,3.3,0.09559797,15.825800000000001,21.916,284,21.8541,15.7141,21.265,1,-0.3853094548,2460230.8532755,None,2.96,d6_m7,14.487324,4.9330919,2458291.96478,2,23.045,2023RN3,2476,-0.665,0.326391,Fink,0,498,None,37.8163414001,0.0364,-1.4999999999999999e-05,2.6233017,Unknown,ZTF23abjobyq,0.671,61.55528,0,,0,7,-0.28454,0,12.444101,0,0,t17_f5_c3,341.1404,2460230.8538079,0,17.90844,26.28844,0,1.0,,0.9490000000000001,359.0983261,0.7242856999999999,0,26.369,0,Unknown,0,2460230.8532755,341.1404,0.99999994,2458371.904444,4.932639,0.8421941,17.6239,17.6089,0,0,4.10.0,-35.725807,Unknown,1280,0,38,19,0,0.0454,None,0.04641000000000001,21.2808,0.932,15,-999.0,15.6822,,Solar System MPC,,,,,,,2023-10-13 08:28:43.003,2023-10-13 08:28:43.003,0,Pisces
8,1,Unknown,18.1,0,2.70414e-05,13.900038,19.873058,19.984718,16.043013,3.1,None,0,2476311073815,0,17.655447,0.33263472,0.64,Kulkarni,2476311073815015015,0,Unknown,0,56.461815,0.308,359.1018465,20.379686,1.0459046,ztf_20231013311076_000498_zg_c10_o_q3_scimrefdiffimg.fits,2104.505,12.560868,113923590973773986,0,1,113913591056358555,113923590986348791,30,0.13602889999999998,20.50083,1,0,498120138,0.3479042,0,,4.09472e-05,-999.0,-0.067304,21.1613,3,21.8389,t,1.0,0.0047916700000000005,0.0025,20.8796,3.3,0.07294238,20.3874,21.916,278,21.8541,20.1658,19.8581,1,-0.38116064040000003,2460230.8110764,None,3.34,d6_m7,15.062567,4.9356871,2458279.970752,1,23.179,2023RN3,2476,-0.34400000000000003,0.323046,Fink,0,498,None,35.8731460571,0.048400000000000006,-3.053e-05,2.2109854,Unknown,ZTF23abjnimo,0.65,43.81173,0,,0,5,-0.318833,0,19.985664,0,0,t17_f5_c3,346.4423,2460230.8110764,0,18.487534,26.277533,0,1.162,,1.111,359.1018007,0.6614285999999999,0,26.233,0,Unknown,0,2460230.8110764,346.4423,0.99999917,2458349.896227,4.9321545,0.81872064,18.1687,18.0983,0,0,4.10.0,-26.156282,Unknown,1278,0,38,15,0,0.0575,None,0.040750999999999996,19.4214,0.29,16,-999.0,19.7755,,Solar System MPC,,,,,,,2023-10-13 07:27:57.001,2023-10-13 07:27:57.001,0,Pisces
9,1,Unknown,18.0,0,2.42106e-05,-999.0,4.2640886,4.654162,3.8637311,3.1,None,0,2470255203915,0,22.91304,0.31216216,0.866,Kulkarni,2470255203915015001,0,Unknown,0,-999.0,0.34,359.6033524,20.427626,1.0833334,ztf_20231007255208_000498_zg_c10_o_q4_scimrefdiffimg.fits,740.5852,5.7927136,114373596030846703,0,1,114373596027856912,114373596028396496,30,0.10439767,-999.0,1,0,498120139,0.33817568000000003,0,,3.27746e-05,-999.0,-0.042681,-999.0,3,-999.0,t,0.5,0.5,0.00166667,-999.0,3.3,0.1349395,21.8906,21.886400000000002,250,21.272,21.6196,21.2481,1,-0.3806396951,2460224.7552083,None,2.96,d6_m7,8.35637,5.3143635,2458279.970752,1,23.054,2023RN3,2470,-0.368,0.31818599999999997,Fink,0,498,None,32.1019592285,0.0523,-2.6170000000000002e-05,2.1677265,Unknown,ZTF23abilhuu,0.755,49.6708,0,,0,5,-0.120181,0,-999.0,0,0,t17_f5_c3,740.5852,2460224.7552083,0,18.380081,26.28708,0,1.001,,0.924,359.6038,0.9071429,0,26.2615,0,Unknown,0,2460224.7552083,1653.0352,0.99999976,2458347.838241,5.3127961,0.8880211,18.259900000000002,18.2248,0,0,4.8.1,-26.75776,Unknown,1264,0,39,1,0,0.064,None,0.031842999999999996,-999.0,0.546,15,-999.0,20.7593,,Solar System MPC,,,,,,,2023-10-07 06:07:29.997,2023-10-07 06:07:29.997,0,Pisces
