MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,delta,r,alpha,reduced_mag,reduced_dmag,MJDCorrected,3sig limiting mag
57229.490827,17.945,0.141,241,34,o,0,1.2,349.77087,0.73337,7478.12,8711.04,3.74,3.33,-79.9,-0.461,19.22,20.89,02a57229o0332o,17.4560017502122,18.15029884792,2.3875,5.440857215220705,0.141,57229.3900095419,24.834149081562394
57229.493015,17.784000000000002,0.128,279,36,o,0,0.89,349.77082,0.73335,7476.97,8711.68,3.66,3.26,-79.1,-0.465,19.23,20.9,02a57229o0335o,17.4559760297848,18.15030031673,2.3874,5.279860239038312,0.128,57229.392197690446,24.93917193908117
57229.51459400001,17.899,0.083,251,21,o,0,1.19,349.77024,0.73316,8942.33,7259.37,3.75,3.38,87.4,-0.457,19.26,20.99,02a57229o0362o,17.4557227886966,18.15031480268,2.3866,5.394890008643387,0.083,57229.41377815305,25.409501632260657
57229.541637,18.083,0.09699999999999999,212,21,o,0,1.0,349.76952,0.7329399999999999,8945.6,7256.35,3.82,3.34,-88.4,-0.442,19.29,21.03,02a57229o0399o,17.4554065503043,18.1503329564,2.3855,5.578927176823655,0.09699999999999999,57229.440822979486,25.24026752753523
57246.46090700001,18.565,0.10300000000000001,136,14,c,0,1.53,349.24745,0.54483,6493.34,9062.17,3.92,3.66,-76.4,-0.41600000000000004,19.53,21.43,02a57246o0299c,17.2892215437494,18.16164550406,1.6685,6.08034683082084,0.10300000000000001,57246.36105278404,25.175103801437913
57246.466764,18.243,0.09300000000000001,183,17,c,0,1.21,349.24724,0.54475,6490.71,9063.09,4.01,3.74,-74.6,-0.413,19.52,21.42,02a57246o0307c,17.2891751599647,18.16164940452,1.6682,5.758352190134493,0.09300000000000001,57246.366910051926,25.285989491816004
57246.502452,18.597,0.122,132,16,c,0,1.17,349.24595,0.54427,7936.2,7618.43,3.9,3.51,-84.5,-0.425,19.54,21.41,02a57246o0353c,17.2888938616447,18.16167317067,1.6665,6.112384679145205,0.122,57246.40259967657,24.991297286513973
57313.399357,18.176,0.131,195,26,c,0,0.84,346.64612999999997,-0.6503800000000001,7687.76,681.97,5.77,4.25,12.0,-0.43799999999999994,19.36,21.28,02a57313o0211c,17.4025182919359,18.20551454047,1.8983,5.671924716076678,0.131,57313.29884843659,24.91401862406143
57313.429036,18.421,0.168,155,26,c,0,0.88,346.64522,-0.65088,7689.66,678.06,5.73,4.35,10.9,-0.434,19.29,21.2,02a57313o0253c,17.4028526230088,18.20553367697,1.8996,5.916880716396694,0.168,57313.328525505654,24.643923658886184
57323.402711,17.955,0.389,239,93,o,0,0.91,346.37827999999996,-0.8075899999999999,8300.7,380.22,6.29,4.36,13.1,-0.466,18.05,18.9,02a57323o0348o,17.5253172356235,18.21194885243,2.3026,5.434888449716297,0.389,57323.301493209045,23.732322859886573
57326.319045000004,18.422,0.21,155,33,o,0,1.27,346.3133,-0.8489399999999999,5411.25,8483.11,4.04,3.3,-75.5,-0.491,18.74,20.19,02a57326o0239o,17.5651327595191,18.21381876738,2.407,5.896737762486319,0.21,57326.21759725376,24.401648626366043
57326.342811,17.963,0.174,237,41,o,0,0.8,346.31278,-0.8492700000000001,5413.99,8480.02,4.14,3.37,-73.3,-0.47100000000000003,18.64,20.04,02a57326o0276o,17.5654658140774,18.21383399486,2.4078,5.437694773894748,0.174,57326.24136133019,24.605823742494344
57330.312377999995,17.668,0.11800000000000001,311,37,o,0,1.17,346.23453,-0.90186,5558.61,8379.09,4.39,3.55,-75.2,-0.49,18.72,20.37,02a57330o0185o,17.6223211709377,18.21637491201,2.5393,5.135374659848917,0.11800000000000001,57330.21059996103,25.02749184493553
57330.336079999994,17.572,0.098,340,33,o,0,1.24,346.23408,-0.9021600000000001,5559.31,8380.71,4.6,3.94,-74.0,-0.495,18.71,20.4,02a57330o0222o,17.6226711053625,18.2163900688,2.54,5.039329733608829,0.098,57330.23429993998,25.229131673969604
57330.365230999996,18.029,0.163,223,36,o,0,1.0,346.23353,-0.9025299999999999,4097.04,9843.33,4.74,3.87,-62.9,-0.48100000000000004,18.79,20.47,02a57330o0267o,17.6231027527853,18.21640870983,2.541,5.496274324406164,0.163,57330.26344844699,24.676727852190947
57330.375681,18.278,0.311,177,55,o,0,0.82,346.23332999999997,-0.9026700000000001,8620.62,205.08,7.33,4.9,13.6,-0.402,18.86,20.61,02a57330o0283o,17.6232578098004,18.21641539217,2.5413,5.745254422209445,0.311,57330.27389755146,23.97529589063375
57330.395864,18.073,0.153,214,33,o,0,0.94,346.23295,-0.9029200000000001,4105.11,9844.74,4.86,4.02,-60.7,-0.46299999999999997,18.74,20.49,02a57330o0314o,17.6235577306632,18.21642829825,2.5419,5.54021592893068,0.153,57330.29407881926,24.745468286156846
57334.319187,18.941,0.22,96,21,c,0,0.63,346.16795,-0.9503799999999999,5687.83,8285.93,4.06,3.88,83.9,-0.38299999999999995,19.19,21.05,02a57334o0206c,17.6825512648013,18.21893465812,2.6589,6.400660479462534,0.22,57334.21706110102,24.351140161145327
57334.34768300001,18.692,0.156,121,19,c,0,0.71,346.1675,-0.95071,5689.01,8286.3,4.02,3.83,88.2,-0.38299999999999995,19.33,21.19,02a57334o0247c,17.6829921166912,18.21895284474,2.6597,6.151604174531418,0.156,57334.24555455488,24.72438536731469
57334.378149000004,18.8,0.152,110,17,c,0,1.67,346.16702999999995,-0.95106,4235.62,9746.9,4.1,4.05,86.0,-0.37799999999999995,19.26,21.1,02a57334o0291c,17.6834648180783,18.21897228835,2.6606,6.259543810115739,0.152,57334.276017824785,24.752587893338912
57334.389218,18.652,0.207,126,26,c,0,0.96,346.16685,-0.95119,8752.38,110.57,5.27,4.41,6.9,-0.37799999999999995,19.23,21.13,02a57334o0307c,17.68363688297,18.2189793526,2.6609,6.111521839235531,0.207,57334.28708583101,24.417270999558546
57334.409262,18.534000000000002,0.153,140,22,c,0,1.26,346.16654,-0.95142,4239.04,9747.67,4.62,4.56,-69.5,-0.353,19.01,20.96,02a57334o0336c,17.68394885571,18.21899214459,2.6615,5.993482006057334,0.153,57334.30712802921,24.745468286156846
57334.41968300001,18.643,0.22899999999999998,127,29,c,0,0.92,346.16638,-0.9515399999999999,8758.45,111.78,5.32,4.43,5.0,-0.374,19.11,20.98,02a57334o0351c,17.6841112363096,18.21899879517,2.6618,6.102461274216582,0.22899999999999998,57334.317548091385,24.307608157351122
57351.32989,17.699,0.322,302,97,o,0,1.09,346.03432000000004,-1.09894,5943.65,8007.7,3.74,3.62,83.4,-0.449,18.08,18.8,02a57351o0065o,17.9628336937599,18.22974597478,3.0085,5.1232226699218,0.322,57351.22614532472,23.937557183961264
57351.336363,17.842,0.374,265,99,o,0,1.17,346.03431,-1.0989799999999998,5946.03,8006.89,3.71,3.55,85.6,-0.441,18.09,18.76,02a57351o0075o,17.962947009808,18.22975007154,3.0086,5.266208483538453,0.374,57351.23261767026,23.77501785769964
57353.20785700001,18.427,0.191,155,30,o,0,1.48,346.03493,-1.10922,4801.41,2726.35,4.04,3.81,-36.4,-0.508,18.66,20.18,02a57353o0059o,17.9955107508776,18.23093399107,3.0307,5.847134520097626,0.191,57353.10392359778,24.504613445081525
57354.270174,18.311,0.23800000000000002,172,41,o,0,1.17,346.03652999999997,-1.11448,5939.15,7970.0,3.71,3.46,83.0,-0.45799999999999996,18.38,19.48,02a57354o0156o,18.0141054666745,18.23160553331,3.0419,5.728811916186952,0.23800000000000002,57354.16613320365,24.265754470559564
57356.278072,18.58,0.157,134,21,o,0,1.0,346.04233,-1.12331,5930.99,7953.95,3.98,3.74,-86.4,-0.42,18.98,20.64,02a57356o0083o,18.049424532398,18.23287386125,3.0601,5.993407563260607,0.157,57356.17382721774,24.717447732177757
57356.286311,18.316,0.13699999999999998,171,24,o,0,0.95,346.04236000000003,-1.12334,5931.14,7954.97,3.76,3.49,-89.8,-0.439,19.03,20.6,02a57356o0096o,18.0495708557734,18.23287906298,3.0602,5.729389340095253,0.13699999999999998,57356.18206537265,24.865395445309826
57356.29455499999,17.983,0.107,233,25,o,0,0.94,346.04239,-1.12337,5931.36,7955.07,3.74,3.48,-88.3,-0.43799999999999994,19.03,20.59,02a57356o0109o,18.0497173650247,18.23288426784,3.0602,5.396371094338196,0.107,57356.19030852647,25.133737418987817
57356.302788,18.391,0.146,160,23,o,0,0.97,346.04241,-1.12341,5932.2,7955.36,3.74,3.46,-86.8,-0.439,19.01,20.55,02a57356o0122o,18.0498637728356,18.23288946574,3.0603,5.8043528617569855,0.146,57356.1985406809,24.79631472373975
57357.24884,18.311,0.11699999999999999,172,20,o,0,1.3,346.04643,-1.12705,5930.73,7652.84,3.67,3.42,84.0,-0.46399999999999997,19.11,20.7,02a57357o0121o,18.0665706352597,18.23348661464,3.0675,5.722272770355913,0.11699999999999999,57357.14449619011,25.03673220883544
57357.262781,18.413,0.14300000000000002,157,22,o,0,0.95,346.04648,-1.1271,6220.04,7654.45,3.63,3.37,83.9,-0.45299999999999996,19.13,20.73,02a57357o0143o,18.0668183783667,18.23349541212,3.0676,5.824241945898715,0.14300000000000002,57357.158435759266,24.818856769538186
57357.278673,18.508,0.145,143,21,o,0,0.9,346.04654,-1.12716,6801.59,8239.3,3.6,3.39,83.2,-0.447,19.16,20.75,02a57357o0168o,18.0671011504226,18.2335054407,3.0677,5.919206765126384,0.145,57357.17432612611,24.803776857613407
57357.295776,18.213,0.12,188,23,o,0,0.83,346.04661,-1.12722,5351.29,7361.97,3.58,3.35,87.4,-0.441,19.16,20.77,02a57357o0195o,18.0674058777778,18.23351623339,3.0679,5.62416885513762,0.12,57357.19142736615,25.00924374808178
57358.24492899999,18.246,0.14300000000000002,183,26,o,0,0.98,346.05146,-1.13053,6210.87,7646.72,3.85,3.51,82.3,-0.48200000000000004,18.99,20.56,02a57358o0124o,18.0842095450533,18.23411504514,3.0742,5.655078893885804,0.14300000000000002,57358.14048331626,24.818856769538186
57358.25840399999,18.322,0.132,170,22,o,0,1.15,346.05152999999996,-1.13057,6499.37,8230.41,3.8,3.52,82.5,-0.461,19.01,20.59,02a57358o0146o,18.084449535183,18.23412354436,3.0743,5.731049064958238,0.132,57358.15395693019,24.905762035186218
57358.273073000004,18.223,0.121,186,23,o,0,1.01,346.0516,-1.1306200000000002,5629.75,7062.85,3.73,3.43,86.6,-0.479,19.11,20.76,02a57358o0170o,18.0847111025343,18.23413279662,3.0744,5.632016555907644,0.121,57358.168624419515,25.00023343740972
57358.288994,18.36,0.141,164,23,o,0,1.09,346.05167,-1.13067,5335.39,8812.16,3.65,3.51,85.8,-0.449,19.09,20.7,02a57358o0196o,18.0849953484747,18.23414283849,3.0745,5.768981230249869,0.141,57358.18454377785,24.834149081562394
57359.255321000004,18.167,0.139,196,27,o,0,1.03,346.05745,-1.13368,6207.38,7642.25,3.93,3.75,54.9,-0.433,18.99,20.59,02a57359o0003o,18.1021423539716,18.23475218316,3.08,5.573850793475165,0.139,57359.150771745,24.849659862565606
57359.266816999996,18.16,0.14300000000000002,198,28,o,0,0.79,346.05751000000004,-1.13372,6492.67,8226.66,3.86,3.68,61.3,-0.42700000000000005,19.02,20.63,02a57359o0022o,18.1023477252406,18.23475943053,3.0801,5.566825294917157,0.14300000000000002,57359.162266558866,24.818856769538186
57359.280769000005,18.436,0.163,153,25,o,0,1.11,346.05759,-1.13376,5622.55,7060.41,3.72,3.53,80.6,-0.435,19.03,20.58,02a57359o0045o,18.1025972313846,18.23476822617,3.0802,5.8427943181192,0.163,57359.17621711785,24.676727852190947
57359.296555999994,18.504,0.157,144,23,o,0,1.27,346.05768,-1.1338,5327.09,8806.23,3.78,3.69,68.6,-0.425,19.0,20.6,02a57359o0071o,18.1028798810205,18.23477817855,3.0803,5.910759228360881,0.157,57359.19200248539,24.717447732177757
57366.258349,18.373,0.168,162,27,o,0,0.91,346.12343,-1.14516,6260.83,7406.0,3.79,3.48,-84.3,-0.47600000000000003,18.79,20.18,02a57366o0096o,18.2270763804498,18.23915943865,3.0941,5.7643908337429774,0.168,57366.15307818624,24.643923658886184
