MJD,m,dm,F,r,delta,alpha
57229.49100061111,17.945,0.141,o,18.15,17.456,2.388
57229.49318861111,17.784,0.128,o,18.15,17.456,2.387
57229.514767611116,17.899,0.083,o,18.15,17.456,2.387
57229.54181061111,18.083,0.097,o,18.15,17.455,2.386
57246.461080611116,18.565,0.103,c,18.162,17.289,1.668
57246.466937611105,18.243,0.093,c,18.162,17.289,1.668
57246.50262561111,18.597,0.122,c,18.162,17.289,1.666
57313.39953061111,18.176,0.131,c,18.206,17.403,1.898
57330.396037611106,18.073,0.153,o,18.216,17.624,2.542
57356.28648461111,18.316,0.137,o,18.233,18.05,3.06
57356.2947286111,17.983,0.107,o,18.233,18.05,3.06
57356.30296161111,18.391,0.146,o,18.233,18.05,3.06
57357.24901361111,18.311,0.117,o,18.233,18.067,3.068
57357.26295461111,18.413,0.143,o,18.233,18.067,3.068
57357.27884661111,18.508,0.145,o,18.234,18.067,3.068
57357.29594961111,18.213,0.12,o,18.234,18.067,3.068
57358.2451026111,18.246,0.143,o,18.234,18.084,3.074
57358.2585776111,18.322,0.132,o,18.234,18.084,3.074
57358.27324661112,18.223,0.121,o,18.234,18.085,3.074
57358.28916761111,18.36,0.141,o,18.234,18.085,3.074
57359.25549461111,18.167,0.139,o,18.235,18.102,3.08
57359.26699061111,18.16,0.143,o,18.235,18.102,3.08
57574.61047061111,18.386,0.103,c,18.363,18.012,3.007
57578.600068611115,18.421,0.095,c,18.366,17.952,2.932
57591.54015661111,17.864,0.152,o,18.373,17.77,2.596
57607.527674611105,18.606,0.1,c,18.382,17.586,2.004
57607.54354861111,18.575,0.103,c,18.382,17.586,2.003
57611.503778611106,18.267,0.109,o,18.384,17.548,1.83
57611.52845861111,18.358,0.143,o,18.384,17.548,1.829
57611.54038461111,18.176,0.111,o,18.384,17.548,1.829
57611.5537626111,18.229,0.117,o,18.384,17.548,1.828
57611.5764276111,18.121,0.093,o,18.384,17.548,1.827
57630.47884961111,18.265,0.077,c,18.394,17.425,0.904
57630.484499611106,18.225,0.079,c,18.394,17.425,0.904
57630.508006611104,18.424,0.099,c,18.394,17.425,0.903
57630.5183296111,18.487,0.104,c,18.394,17.425,0.902
57630.53405561111,18.214,0.088,c,18.394,17.425,0.901
57638.45836061112,18.423,0.099,c,18.399,17.403,0.5
57638.46335761111,18.465,0.094,c,18.399,17.403,0.499
57638.48632261111,18.411,0.095,c,18.399,17.403,0.498
57638.49666861112,18.308,0.092,c,18.399,17.403,0.498
57638.51186261111,18.348,0.096,c,18.399,17.403,0.497
57650.463087611104,17.903,0.143,o,18.405,17.406,0.33
57650.47060161111,17.988,0.152,o,18.405,17.406,0.33
57650.48605561112,18.045,0.154,o,18.405,17.406,0.331
57658.40729461111,18.287,0.091,c,18.409,17.432,0.705
57658.42454561111,18.326,0.107,c,18.409,17.432,0.706
57670.381548611105,18.084,0.099,o,18.416,17.506,1.313
57670.396786611105,18.496,0.136,o,18.416,17.506,1.313
57670.41585861111,18.305,0.104,o,18.416,17.506,1.314
57670.4272146111,18.205,0.088,o,18.416,17.506,1.315
57670.43218261111,18.039,0.082,o,18.416,17.506,1.315
57672.399798611106,18.049,0.131,o,18.417,17.522,1.411
57672.41066161111,18.173,0.152,o,18.417,17.522,1.412
57672.432707611115,17.908,0.129,o,18.417,17.523,1.413
57680.37554361112,18.178,0.134,o,18.421,17.598,1.783
57680.42640561111,18.118,0.137,o,18.421,17.599,1.785
57688.365513611105,18.366,0.111,c,18.425,17.69,2.12
57688.38160961111,18.48,0.106,c,18.425,17.69,2.12
57688.39697161111,18.453,0.123,c,18.425,17.69,2.121
57688.41276061111,18.367,0.109,c,18.425,17.69,2.121
57688.429998611115,18.386,0.127,c,18.425,17.691,2.122
57692.35504361111,18.483,0.113,c,18.427,17.741,2.272
57692.36994761111,18.552,0.131,c,18.427,17.741,2.272
57696.34829761112,18.416,0.107,c,18.43,17.796,2.412
57696.3628006111,18.399,0.113,c,18.43,17.796,2.412
57696.37739061111,18.402,0.111,c,18.43,17.796,2.413
57696.39244261111,18.278,0.115,c,18.43,17.796,2.413
57696.407614611104,18.336,0.112,c,18.43,17.796,2.414
57700.37569461111,17.821,0.144,o,18.432,17.854,2.54
57744.244401611104,18.248,0.11,c,18.454,18.598,3.009
57744.25635661111,18.188,0.117,c,18.454,18.599,3.009
57744.292637611106,18.302,0.121,c,18.454,18.599,3.008
57935.60617261111,18.393,0.11,o,18.546,18.324,3.085
57935.614824611104,18.353,0.102,o,18.546,18.324,3.085
57941.547363611106,18.08,0.083,o,18.549,18.231,3.01
57941.553765611105,18.591,0.123,o,18.549,18.231,3.01
57941.562103611104,18.414,0.124,o,18.549,18.231,3.01
57941.56959261112,18.515,0.127,o,18.549,18.23,3.01
57942.56449961111,18.341,0.129,o,18.549,18.215,2.994
57942.57288561111,18.28,0.116,o,18.549,18.215,2.994
57942.581278611106,18.45,0.152,o,18.549,18.215,2.994
57942.589676611104,18.379,0.134,o,18.549,18.215,2.994
57945.56340961111,18.411,0.096,o,18.551,18.169,2.942
57945.57196061111,18.269,0.105,o,18.551,18.169,2.942
57945.580436611104,18.503,0.144,o,18.551,18.169,2.942
57945.5889406111,18.112,0.098,o,18.551,18.169,2.941
57951.59512561111,18.33,0.1,o,18.553,18.08,2.814
57951.60539561111,18.34,0.088,o,18.553,18.079,2.814
57951.61513661111,18.424,0.092,o,18.553,18.079,2.813
57951.6260296111,18.254,0.117,o,18.553,18.079,2.813
57955.58621261111,18.361,0.087,o,18.555,18.023,2.713
57955.59664561111,18.397,0.089,o,18.555,18.023,2.712
57955.60812661111,18.457,0.109,o,18.555,18.022,2.712
57955.618390611104,18.357,0.13,o,18.555,18.022,2.712
57959.575805611115,18.297,0.072,o,18.557,17.968,2.598
57959.57727061111,18.148,0.078,o,18.557,17.968,2.598
57959.58819561111,18.204,0.092,o,18.557,17.968,2.598
57959.5984656111,18.609,0.111,o,18.557,17.968,2.598
57961.59404661111,18.243,0.055,o,18.558,17.942,2.536
57961.598277611105,18.343,0.062,o,18.558,17.942,2.536
57961.606570611104,18.489,0.096,o,18.558,17.942,2.535
57961.61353361111,18.226,0.077,o,18.558,17.941,2.535
57961.61402161111,18.322,0.129,o,18.558,17.941,2.535
57961.6228766111,18.465,0.088,o,18.558,17.941,2.535
57963.53283261111,18.364,0.088,o,18.559,17.917,2.473
57963.54128361111,18.254,0.076,o,18.559,17.917,2.472
57963.54972161111,18.18,0.068,o,18.559,17.917,2.472
57963.55812161111,18.31,0.073,o,18.559,17.917,2.472
57967.55068661111,18.328,0.074,o,18.561,17.867,2.333
57967.56119561111,18.208,0.066,o,18.561,17.867,2.333
57967.571040611096,18.235,0.061,o,18.561,17.867,2.333
57967.581854611104,18.339,0.063,o,18.561,17.867,2.332
57969.542318611115,18.287,0.079,o,18.561,17.844,2.26
57969.54697261111,18.197,0.066,o,18.561,17.844,2.26
57969.552501611106,18.233,0.069,o,18.561,17.844,2.26
57969.556926611105,18.178,0.064,o,18.561,17.844,2.259
57969.561722611106,18.339,0.06,o,18.561,17.844,2.259
57969.56577361111,18.265,0.061,o,18.561,17.844,2.259
57969.57093861111,18.261,0.056,o,18.561,17.844,2.259
57969.57496461111,18.233,0.064,o,18.561,17.844,2.259
57973.46163061111,18.183,0.115,o,18.563,17.801,2.108
57973.49127661111,18.066,0.117,o,18.563,17.8,2.107
57974.503310611115,18.138,0.109,o,18.564,17.79,2.066
57974.51362661111,18.321,0.09,o,18.564,17.79,2.065
57974.52323661111,18.135,0.105,o,18.564,17.789,2.065
57974.532510611105,18.227,0.115,o,18.564,17.789,2.064
57978.54884261111,18.202,0.075,o,18.565,17.749,1.896
57978.562774611106,18.194,0.07,o,18.565,17.749,1.895
57978.571711611105,18.279,0.087,o,18.565,17.749,1.894
57978.580660611115,18.15,0.076,o,18.565,17.749,1.894
57980.53361261111,18.075,0.067,o,18.566,17.731,1.808
57980.54249061111,18.094,0.075,o,18.566,17.731,1.808
57980.55131161111,18.119,0.068,o,18.566,17.731,1.808
57980.56025861111,18.145,0.075,o,18.566,17.73,1.807
57982.545101611104,18.435,0.065,c,18.567,17.713,1.718
57982.55493361111,18.467,0.063,c,18.567,17.713,1.718
57982.564038611104,18.495,0.064,c,18.567,17.713,1.717
57982.573592611116,18.493,0.072,c,18.567,17.713,1.717
57986.53559061111,18.53,0.07,c,18.569,17.681,1.533
57986.544808611114,18.484,0.063,c,18.569,17.681,1.532
57986.55437161111,18.527,0.067,c,18.569,17.681,1.532
57988.5152406111,18.171,0.085,o,18.57,17.666,1.438
57988.524153611106,18.337,0.09,o,18.57,17.666,1.438
57988.53306761111,18.321,0.095,o,18.57,17.666,1.437
57988.54191361111,18.354,0.09,o,18.57,17.666,1.437
57992.447876611106,18.129,0.065,o,18.571,17.641,1.245
57992.452000611105,18.261,0.102,o,18.571,17.641,1.245
57992.45502261111,18.19,0.072,o,18.571,17.641,1.245
57992.45909961111,18.097,0.088,o,18.571,17.641,1.244
57992.46224561111,18.043,0.072,o,18.571,17.641,1.244
57992.4627546111,18.204,0.093,o,18.571,17.641,1.244
57992.464255611114,18.339,0.092,o,18.571,17.641,1.244
57992.46676761111,18.072,0.074,o,18.571,17.641,1.244
57992.469366611105,18.096,0.073,o,18.571,17.641,1.244
57992.4698786111,18.084,0.062,o,18.571,17.641,1.244
57992.47137761111,18.177,0.071,o,18.571,17.64,1.244
57992.47399661111,18.216,0.078,o,18.571,17.64,1.244
57992.477015611104,18.057,0.071,o,18.571,17.64,1.244
57992.4790536111,18.103,0.075,o,18.571,17.64,1.244
57992.48416761112,18.213,0.079,o,18.571,17.64,1.243
57992.48623261111,18.175,0.08,o,18.571,17.64,1.243
57994.485317611114,18.171,0.055,o,18.572,17.629,1.143
57994.493264611105,18.222,0.048,o,18.572,17.629,1.143
57994.501717611114,18.22,0.051,o,18.572,17.629,1.142
57994.5099276111,18.212,0.06,o,18.572,17.629,1.142
57998.441448611105,18.1,0.087,o,18.574,17.61,0.942
57998.449075611104,18.171,0.079,o,18.574,17.61,0.942
57998.44958261111,18.126,0.079,o,18.574,17.61,0.942
57998.4567026111,18.111,0.082,o,18.574,17.61,0.941
57998.4572166111,18.016,0.069,o,18.574,17.61,0.941
57998.46430861111,17.963,0.067,o,18.574,17.61,0.941
57998.464854611106,18.128,0.079,o,18.574,17.61,0.941
57998.4725146111,18.078,0.083,o,18.574,17.61,0.94
58000.3991146111,17.831,0.116,o,18.575,17.602,0.842
58000.409257611114,18.117,0.148,o,18.575,17.602,0.841
58000.41171061111,18.064,0.137,o,18.575,17.602,0.841
58000.415526611105,17.947,0.128,o,18.575,17.602,0.841
58000.417954611105,17.938,0.126,o,18.575,17.602,0.841
58000.42180561111,17.934,0.107,o,18.575,17.602,0.84
58008.44271061111,18.015,0.079,o,18.578,17.581,0.436
58008.444618611116,17.843,0.082,o,18.578,17.581,0.436
58008.449465611106,18.018,0.081,o,18.578,17.581,0.436
58010.42538761111,18.033,0.044,o,18.579,17.579,0.346
58010.4321546111,18.054,0.053,o,18.579,17.579,0.346
58010.439456611115,17.97,0.054,o,18.579,17.579,0.345
58010.4462276111,18.036,0.05,o,18.579,17.579,0.345
58012.41287361111,18.005,0.081,o,18.58,17.578,0.269
58012.432209611114,18.114,0.138,o,18.58,17.578,0.269
58016.4065796111,17.967,0.07,o,18.582,17.58,0.224
58016.410952611106,17.921,0.1,o,18.582,17.58,0.224
58016.41334561111,17.912,0.07,o,18.582,17.58,0.224
58016.4176036111,17.869,0.077,o,18.582,17.58,0.224
58016.42057061111,17.847,0.058,o,18.582,17.58,0.224
58016.430725611106,17.967,0.072,o,18.582,17.58,0.224
58018.40654961111,18.2,0.049,c,18.583,17.583,0.275
58018.41326861111,18.186,0.048,c,18.583,17.583,0.275
58018.41798261112,18.124,0.05,c,18.583,17.583,0.275
58018.428639611106,18.332,0.052,c,18.583,17.583,0.275
58022.386425611105,18.097,0.051,o,18.584,17.592,0.444
58022.390534611106,18.082,0.047,o,18.584,17.592,0.444
58022.3971016111,18.093,0.052,o,18.584,17.592,0.444
58022.40335961111,18.138,0.051,o,18.584,17.592,0.445
58024.38065761111,18.021,0.071,o,18.585,17.598,0.542
58024.38819961111,18.296,0.093,o,18.585,17.598,0.542
58024.39528061111,18.051,0.071,o,18.585,17.598,0.542
58024.39626961111,18.006,0.082,o,18.585,17.598,0.542
58024.40335761112,17.934,0.064,o,18.585,17.598,0.543
58024.40471161111,18.053,0.074,o,18.585,17.598,0.543
58024.41239861111,17.993,0.07,o,18.585,17.598,0.543
58024.413314611105,18.019,0.073,o,18.585,17.598,0.543
58026.38545861111,18.142,0.07,o,18.586,17.605,0.642
58026.393176611105,18.043,0.055,o,18.586,17.605,0.643
58026.39683761111,18.02,0.065,o,18.586,17.605,0.643
58026.406952611105,18.128,0.08,o,18.586,17.605,0.644
58028.37429061111,17.993,0.11,o,18.587,17.614,0.744
58028.38179461111,18.105,0.112,o,18.587,17.614,0.744
58028.38975961111,18.053,0.103,o,18.587,17.614,0.745
58028.397878611104,18.248,0.139,o,18.587,17.614,0.745
58032.45790561111,18.001,0.155,o,18.588,17.635,0.953
58032.4755266111,17.913,0.147,o,18.588,17.635,0.954
58033.38023561111,17.803,0.127,o,18.589,17.641,1.0
58033.38211361111,18.2,0.152,o,18.589,17.641,1.0
58033.3863666111,18.388,0.153,o,18.589,17.641,1.0
58033.38825661111,17.942,0.095,o,18.589,17.641,1.0
58033.393008611114,17.977,0.115,o,18.589,17.641,1.0
58033.394941611106,18.318,0.155,o,18.589,17.641,1.0
58034.36932561111,18.06,0.118,o,18.589,17.647,1.05
58034.37125861111,18.065,0.089,o,18.589,17.647,1.05
58034.37644861112,18.167,0.105,o,18.589,17.647,1.05
58034.3782856111,18.463,0.15,o,18.589,17.647,1.05
58034.383493611116,18.2,0.095,o,18.589,17.647,1.05
58034.38717361111,18.206,0.087,o,18.589,17.647,1.051
58034.38854361111,18.178,0.079,o,18.589,17.647,1.051
58034.389912611114,18.194,0.091,o,18.589,17.647,1.051
58035.3745966111,18.078,0.099,o,18.59,17.654,1.1
58036.3692646111,18.133,0.071,o,18.59,17.66,1.15
58036.376390611105,18.298,0.093,o,18.59,17.66,1.151
58036.38367161111,18.235,0.093,o,18.59,17.66,1.151
58036.3911006111,18.184,0.09,o,18.59,17.66,1.152
58037.36660761111,18.186,0.071,o,18.591,17.667,1.2
58037.37377361111,18.261,0.08,o,18.591,17.667,1.201
58037.3808766111,18.234,0.089,o,18.591,17.667,1.201
58037.39210561112,18.111,0.071,o,18.591,17.668,1.202
58044.35125261111,18.234,0.091,o,18.593,17.725,1.538
58044.355047611105,18.141,0.094,o,18.593,17.725,1.538
58044.3621766111,18.52,0.142,o,18.593,17.725,1.539
58044.365512611104,18.157,0.118,o,18.593,17.725,1.539
58044.36930161111,18.111,0.139,o,18.593,17.725,1.539
58044.37645261111,18.353,0.098,o,18.593,17.725,1.54
58048.3440766111,18.216,0.072,o,18.595,17.763,1.722
58048.347850611106,18.239,0.082,o,18.595,17.763,1.722
58048.35116361111,18.281,0.085,o,18.595,17.763,1.722
58048.3549766111,18.004,0.066,o,18.595,17.763,1.722
58048.35830961111,18.323,0.091,o,18.595,17.763,1.722
58048.362075611105,18.225,0.077,o,18.595,17.763,1.722
58048.36541261111,18.172,0.083,o,18.595,17.764,1.722
58048.36925661111,18.243,0.093,o,18.595,17.764,1.723
58054.335037611105,17.8,0.073,o,18.598,17.829,1.979
58054.34210961111,17.998,0.075,o,18.598,17.829,1.98
58054.3492736111,18.192,0.088,o,18.598,17.829,1.98
58056.3164416111,18.077,0.126,o,18.598,17.852,2.06
58056.32373361111,18.135,0.13,o,18.598,17.852,2.06
58056.325563611106,18.212,0.13,o,18.598,17.852,2.06
58056.33085761111,18.081,0.101,o,18.598,17.852,2.06
58056.3327276111,18.342,0.148,o,18.598,17.852,2.06
58056.337875611105,18.194,0.137,o,18.598,17.853,2.06
58062.32375861111,18.223,0.107,o,18.601,17.929,2.286
58062.33037261111,18.363,0.131,o,18.601,17.929,2.286
58062.33766461111,18.477,0.128,o,18.601,17.929,2.287
58062.34428861111,18.246,0.119,o,18.601,17.929,2.287
58064.322557611114,18.279,0.11,o,18.602,17.956,2.356
58064.3304916111,18.375,0.118,o,18.602,17.956,2.356
58064.33844961111,18.194,0.104,o,18.602,17.956,2.356
58064.34657461111,18.534,0.125,o,18.602,17.956,2.357
58066.32099661112,18.523,0.075,o,18.603,17.984,2.422
58066.32897061111,18.487,0.072,o,18.603,17.984,2.423
58066.337101611105,18.365,0.074,o,18.603,17.984,2.423
58066.34504861111,18.413,0.085,o,18.603,17.984,2.423
58068.316093611116,18.206,0.107,o,18.603,18.013,2.486
58068.3233416111,18.33,0.086,o,18.603,18.013,2.486
58068.33042661111,18.48,0.094,o,18.603,18.013,2.486
58068.33768661111,18.264,0.079,o,18.603,18.013,2.486
58070.312076611095,18.332,0.071,o,18.604,18.042,2.546
58070.31909861111,18.373,0.064,o,18.604,18.042,2.546
58070.32626861111,18.338,0.069,o,18.604,18.042,2.546
58070.333362611105,18.321,0.056,o,18.604,18.042,2.547
58072.30592161111,18.25,0.076,o,18.605,18.072,2.603
58072.313950611104,18.447,0.098,o,18.605,18.072,2.603
58072.32219061111,18.296,0.071,o,18.605,18.072,2.603
58074.3073046111,18.589,0.075,c,18.606,18.103,2.656
58074.31536961111,18.604,0.076,c,18.606,18.103,2.656
58074.32340961112,18.613,0.067,c,18.606,18.103,2.657
58074.3315296111,18.677,0.077,c,18.606,18.103,2.657
58076.31397061112,18.368,0.117,o,18.607,18.134,2.707
58078.30126961111,18.708,0.072,c,18.607,18.166,2.753
58078.30923461111,18.573,0.064,c,18.607,18.166,2.753
58078.32520061111,18.664,0.068,c,18.607,18.166,2.754
58080.289175611106,18.406,0.106,o,18.608,18.198,2.796
58080.29723261111,18.481,0.096,o,18.608,18.198,2.796
58080.30530861111,18.323,0.083,o,18.608,18.198,2.796
58080.31340861111,18.258,0.076,o,18.608,18.198,2.796
58082.28261861111,18.428,0.099,c,18.609,18.231,2.835
58082.29052861111,18.558,0.105,c,18.609,18.231,2.835
58082.30657461111,18.436,0.104,c,18.609,18.231,2.836
58092.279976611106,18.059,0.111,o,18.613,18.4,2.978
58092.288337611106,18.275,0.119,o,18.613,18.4,2.978
58096.268114611106,18.601,0.092,o,18.615,18.47,3.01
58096.275076611106,18.539,0.096,o,18.615,18.47,3.01
58096.28201561111,18.326,0.094,o,18.615,18.47,3.01
58096.289023611105,18.347,0.094,o,18.615,18.47,3.01
58098.2808026111,18.475,0.115,o,18.615,18.505,3.02
58098.28773461111,18.425,0.138,o,18.615,18.505,3.02
58110.25241761111,18.647,0.103,c,18.62,18.717,3.004
58116.22579261111,18.395,0.146,o,18.623,18.82,2.947
58116.23389361111,18.153,0.121,o,18.623,18.821,2.947
58116.247973611105,18.38,0.146,o,18.623,18.821,2.947
58122.21290961111,18.573,0.128,o,18.625,18.922,2.86
58122.22164261111,18.321,0.098,o,18.625,18.922,2.86
58122.229962611105,18.507,0.123,o,18.625,18.922,2.86
58122.2379266111,18.645,0.136,o,18.625,18.923,2.86
58124.21451261111,18.383,0.088,o,18.626,18.955,2.824
58124.2188766111,18.417,0.087,o,18.626,18.956,2.824
58124.230238611104,18.545,0.089,o,18.626,18.956,2.824
58124.237954611104,18.497,0.108,o,18.626,18.956,2.824
58128.25195961111,18.448,0.119,o,18.627,19.021,2.742
58130.22240161111,18.318,0.085,o,18.628,19.053,2.697
58130.230628611105,18.708,0.13,o,18.628,19.053,2.697
58130.23887061111,18.46,0.106,o,18.628,19.053,2.697
58130.24557261111,18.54,0.103,o,18.628,19.053,2.697
58132.24270761111,18.448,0.128,o,18.629,19.084,2.648
58132.250249611105,18.573,0.136,o,18.629,19.085,2.648
58132.25722161111,18.471,0.125,o,18.629,19.085,2.648
58134.23050361111,18.724,0.127,c,18.63,19.115,2.597
58134.26024661111,18.69,0.129,c,18.63,19.116,2.596
58136.246432611115,18.497,0.146,o,18.63,19.145,2.542
58136.254810611106,18.661,0.146,o,18.63,19.146,2.542
58136.261835611105,18.274,0.11,o,18.63,19.146,2.542
58298.571056611116,18.498,0.127,o,18.689,18.567,3.106
58298.57894461111,18.773,0.132,o,18.689,18.567,3.106
58298.58679461111,18.543,0.141,o,18.689,18.567,3.106
58298.5947256111,18.321,0.105,o,18.689,18.566,3.105
58324.586238611104,18.401,0.122,o,18.698,18.165,2.69
58324.59640861111,18.406,0.114,o,18.698,18.165,2.689
58324.6071796111,18.545,0.113,o,18.698,18.165,2.689
58336.603863611104,18.469,0.095,o,18.702,18.008,2.31
58336.61457161111,18.261,0.08,o,18.702,18.008,2.31
58336.625777611094,18.346,0.132,o,18.702,18.008,2.31
58338.6127156111,18.733,0.076,c,18.703,17.984,2.237
58338.62543461111,18.496,0.078,c,18.703,17.984,2.236
58342.59916561111,18.541,0.061,c,18.704,17.939,2.082
58342.610101611106,18.459,0.066,c,18.704,17.939,2.082
58342.62109761111,18.682,0.079,c,18.704,17.939,2.081
58344.581455611115,18.102,0.131,o,18.704,17.919,2.002
58348.55813961111,18.549,0.114,o,18.706,17.879,1.832
58348.56414461112,18.305,0.075,o,18.706,17.879,1.832
58348.56908461111,18.288,0.094,o,18.706,17.879,1.832
58348.57507261111,18.359,0.078,o,18.706,17.879,1.832
58348.579511611104,18.355,0.108,o,18.706,17.879,1.832
58348.586188611116,18.304,0.075,o,18.706,17.879,1.831
58348.592055611116,18.186,0.095,o,18.706,17.879,1.831
58348.5996046111,18.358,0.097,o,18.706,17.879,1.831
58350.562711611106,18.32,0.092,o,18.706,17.861,1.744
58350.58365161111,18.363,0.143,o,18.706,17.861,1.743
58350.59441661111,18.341,0.07,o,18.706,17.861,1.742
58360.54406961112,18.086,0.124,o,18.71,17.785,1.273
58362.5426796111,18.287,0.102,o,18.71,17.773,1.174
58362.5483546111,18.055,0.076,o,18.71,17.773,1.174
58362.553346611116,18.257,0.1,o,18.71,17.772,1.174
58362.55912561111,18.249,0.087,o,18.71,17.772,1.173
58362.56353861111,18.114,0.068,o,18.71,17.772,1.173
58362.5692916111,18.34,0.101,o,18.71,17.772,1.173
58362.574272611106,18.259,0.091,o,18.71,17.772,1.172
58362.58003661111,18.221,0.101,o,18.71,17.772,1.172
58364.5360526111,18.172,0.087,o,18.711,17.762,1.074
58364.54677461111,18.115,0.082,o,18.711,17.762,1.073
58364.557013611106,18.019,0.077,o,18.711,17.761,1.073
58364.567650611105,18.312,0.092,o,18.711,17.761,1.072
58370.524404611104,18.218,0.075,o,18.713,17.735,0.768
