,index,Date,LAST,HA,Az,H,Dobs,Dhelio,VMag,SDSS:g,SDSS:r,Phase,Elong.,AM,dRAcosDEC,dDEC,RV,RA,Dec,Longitude,Latitude,d:DR3Name,d:Plx,d:anomaly_score,d:cdsxmatch,d:e_Plx,d:gcvs,d:mangrove_2MASS_name,d:mangrove_HyperLEDA_name,d:mangrove_ang_dist,d:mangrove_lum_dist,d:mulens,d:rf_kn_vs_nonkn,d:rf_snia_vs_nonia,d:roid,d:snn_sn_vs_all,d:snn_snia_vs_nonia,d:t2_AGN,d:t2_EB,d:t2_KN,d:t2_M-dwarf,d:t2_Mira,d:t2_RRL,d:t2_SLSN-I,d:t2_SNII,d:t2_SNIa,d:t2_SNIa-91bg,d:t2_SNIax,d:t2_SNIbc,d:t2_TDE,d:t2_mu-Lens-Single,d:vsx,d:x3hsp,d:x4lac,i:candid,i:chipsf,i:classtar,i:dec,i:diffmaglim,i:distnr,i:distpsnr1,i:drb,i:fid,i:field,i:isdiffpos,i:jd,i:jdendhist,i:jdstarthist,i:maggaia,i:magnr,i:magpsf,i:magzpsci,i:ndethist,i:neargaia,i:nid,i:nmtchps,i:objectId,i:publisher,i:ra,i:rb,i:rcid,i:sgscore1,i:sigmagnr,i:sigmapsf,i:ssdistnr,i:ssmagnr,i:ssnamenr,i:tooflag,i:xpos,i:ypos,d:tracklet,v:classification,v:lastdate,v:firstdate,v:lapse,v:constellation,i:magpsf_red,Julian date,delta,r,alpha,reduced_mag,DecimalYear,reduced_mag_alpha_corr,reduced_mag_alpha_corr_quiescent
63,138,2459227.610613,02:23:02.82,2.1437058431000002,232.8771061197,48.2699657198,19.1438894401,18.8663655666,18.7246278901,19.1863278901,18.4329278901,2.8450747769999998,72.1932889016,1.3388242318999999,0.0595243467,0.017570641,28.8498674354,3.60616125,4.2905311111,5.0133945139,2.5041209722,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1473110432515015000,0.9818258999999999,0.987,4.2905191,19.780544,8.099228,20.470917,0.9999994999999999,1,447,t,2459227.6104398,2459227.6104398,2459227.6104398,18.616442,22.924,18.841920000000002,26.066921,1,20.472273,1473,1,ZTF21aadsnof,Fink,3.6061746,0.9071429,25,0.9748749999999999,0.301,0.08488628000000001,0,18.9,2060,0,2599.037,655.9039,,Solar System MPC,2021-01-13 02:39:01.999,2021-01-13 02:39:01.999,0.0,Pisces,6.0533278859,2459227.6104398,18.0404979745249,18.85703686694,1.8527,6.183310142925288,2021.0331792871239,5.808952813710078,5.808952813710078
64,139,2459224.650081,03:08:12.49,2.9009955821,243.9631019548,40.1652326101,19.0945383506,18.866236408,18.7217800366,19.1834800366,18.4300800366,2.8879427974,75.1368205221,1.548085589,0.0540468421,0.014960991000000002,29.3379602225,3.5371229167,4.2711713889,4.9424569278,2.5137139722,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1470149902515015003,1.6915848,0.9450000000000001,4.2711404,19.99645,6.312129,14.689131,0.99993885,1,447,t,2459224.6499074,2459224.6499074,2459224.6434144,19.433363,22.962,18.975414,26.279413,2,14.691101,1470,2,ZTF21aacveox,Fink,3.5370942,0.85714287,25,0.996667,0.271,0.13597476,0,18.9,2060,0,2824.6543,708.4321,,Solar System MPC,2021-01-10 03:35:51.999,2021-01-10 03:26:31.004,0.0064929998000000004,Pisces,6.1924418247,2459224.6499074,18.0113111559522,18.85730783389,1.7178,6.320288901514118,2021.0250682394517,5.940290962162604,5.940290962162604
65,141,2459202.670868,02:11:29.15,1.975100296,229.9013567141,49.8719639954,18.7162235959,18.8651898088,18.6832056491,19.1449056491,18.3915056491,2.9658926543,97.2221897145,1.3068698317,0.008852944,-0.0049828401,30.0228721423,3.2449504167,4.2259325,4.6568276028,2.5880139167,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1448170692815015003,1.7653127,0.966,4.2258841,20.090237,17.46184,23.941338000000002,0.99999833,1,447,t,2459202.6706944,2459202.6706944,2459202.63125,20.145212,23.448,18.922724,26.328724,2,39.163612,1448,2,ZTF20acymwbj,Fink,3.2449189,0.8842857,28,0.5,0.331,0.09296678,0,18.9,2060,0,320.3295,875.7514,,Solar System MPC,2020-12-19 04:05:47.996,2020-12-19 03:09:00.000,0.0394444,Pisces,6.1833269798,2459202.6706944,18.0034516904245,18.85738416298,1.6785,6.26853786852244,2020.9649472524593,5.878283221516809,5.878283221516809
66,143,2459199.670463,01:59:04.37,1.7687924576,226.0828488824,51.7989361573,18.6647154677,18.8650349546,18.6757097062,19.1374097062,18.3840097062,2.9425239973,100.2687256923,1.271672227,0.0024250459,-0.0077436193,29.7712556544,3.2363383333,4.2334983333,4.6519495861,2.59837075,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1445170282815015002,1.9962984,0.8240000000000001,4.2333881,19.914255,6.8623304,3.8390312,0.99760246,1,447,t,2459199.6702894,2459199.6702894,2459199.6400579,17.979595,22.986,18.891035,26.333036,2,58.309895,1445,9,ZTF20acxuosb,Fink,3.2363272,0.6142856999999999,28,0.5,0.332,0.13965918,0,18.9,2060,0,368.7174,854.0702,,Solar System MPC,2020-12-16 04:05:13.004,2020-12-16 03:21:41.003,0.030231499999999998,Pisces,6.1576400601,2459199.6702894,17.9948047976093,18.85747006272,1.6338,6.237882165816833,2020.9567494245903,5.850702386330533,5.850702386330533
67,145,2459193.669942,01:34:39.87,1.3615982040999999,217.6025549087,55.2271583899,18.5633017224,18.8647166327,18.6592314953,19.1209314953,18.3675314953,2.8708423613000003,106.3809660767,1.2167764526,-0.0103820057,-0.0131803692,29.0004665049,3.2421425,4.2585191667,4.6672237778,2.6190282222,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1439169762815015002,2.322362,0.981,4.2584859999999995,20.306765,0.8553282600000001,24.029821,0.99999994,1,447,t,2459193.6697685,2459193.6697685,2459193.619213,19.949718,22.982,18.83772,26.17272,2,37.28015,1439,3,ZTF20acwfpdr,Fink,3.2421278,0.9242857,28,0.00229167,0.224,0.076142155,0,18.9,2060,0,342.3155,762.8224,,Solar System MPC,2020-12-10 04:04:27.998,2020-12-10 02:51:40.003,0.0505555002,Pisces,6.1161924517,2459193.6697685,17.9863304770196,18.8575563944,1.5881,6.185580080234056,2020.9403545587436,5.807832230630116,5.807832230630116
68,149,2459188.685359,01:37:12.77,1.402210695,218.5389759607,54.9395754955,18.4813885418,18.8644434596,18.6441043109,19.1058043109,18.3524043109,2.7863354248,111.4742648971,1.221033526,-0.0207548791,-0.0175570939,28.1419843525,3.2700579167,4.2890958333,4.7049628,2.6360175833,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1434185182815015002,1.8499531999999999,0.9470000000000001,4.2890681,20.151735,8.739353,25.899632,0.9999927,1,447,t,2459188.6851852,2459188.6851852,2459188.6851852,17.903421,23.504,18.83308,26.348082,1,36.62701,1434,1,ZTF20acvbnjb,Fink,3.2700725999999998,0.81714284,28,0.19833299999999998,0.34500000000000003,0.10199593,0,18.9,2060,0,241.2276,646.6533,,Solar System MPC,2020-12-05 04:26:40.001,2020-12-05 04:26:40.001,0.0,Pisces,6.1211870269,2459188.6851852,17.9779375889736,18.85764421298,1.541,6.181943469629806,2020.9267354786887,5.815315113722147,5.815315113722147
69,150,2459157.792107,02:09:07.77,1.8939477034,228.8583459678,50.9740370043,18.0583605757,18.8625733636,18.5239889383,18.9856889383,18.2322889383,1.801452489,143.2780940683,1.2863279733,-0.0765034109,-0.0398296998,18.3633418722,3.87316875,4.6539077778,5.4024648528,2.7318099721999998,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1403291934215015011,1.9921603,0.982,4.653896,19.78713,10.582556,19.527082,0.9981599,1,447,t,2459157.7919329,2459157.7919329,2459157.7919329,19.457497,22.595,18.685644,26.350643,1,34.730625,1403,3,ZTF20acozdzk,Fink,3.8731766,0.8642856999999999,42,0.0,0.20400000000000001,0.11423889999999999,0,18.7,2060,0,1661.9144,3036.7795,,Solar System MPC,2020-11-04 07:00:23.003,2020-11-04 07:00:23.003,0.0,Pisces,6.0242476882,2459157.7919329,17.8675419557284,18.85938775396,0.4857,6.0476819981173335,2020.842327685519,5.810645366271318,5.810645366271318
70,152,2459155.667836,23:01:48.24,22.7675071945,145.0074809638,56.5579642611,18.0366138145,18.8624335603,18.5141161004,18.9758161004,18.2224161004,1.7085734621,145.4718150605,1.1978435196000001,-0.0795707014,-0.040783639600000005,17.1380884603,3.93841,4.6881530556,5.4758260694,2.7374018611,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1401167664215015009,1.1445758,0.983,4.6881896,19.451084,9.304067,9.352282,0.9999553,1,447,t,2459155.667662,2459155.667662,2459155.667662,20.451466,22.22,18.769808,26.412807,1,9.346192,1401,6,ZTF20acoqhhp,Fink,3.9383957,0.76285714,42,0.995,0.164,0.11123477,0,18.7,2060,0,1439.2335,2930.9265,,Solar System MPC,2020-11-02 04:01:25.997,2020-11-02 04:01:25.997,0.0,Pisces,6.1110443516,2459155.667662,17.8612045515939,18.85969760226,0.2908,6.132580654435621,2020.8365236666662,5.9077651229738475,5.9077651229738475
71,154,2459153.711551,23:57:02.45,23.6839780446,170.2114851413,61.0245603089,18.0175949318,18.8623035338,18.5048366257,18.9665366257,18.2131366257,1.6208906442000002,147.4897467835,1.1427070216,-0.0822511964,-0.0417453354,16.363447227,4.0005583333,4.7204713889,5.5455865972,2.7424534167,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1399211374215015003,1.2677354,0.983,4.7204482,19.15255,9.087031,9.554286,0.9999294,1,447,t,2459153.7113773,2459153.7113773,2459153.7113773,18.26519,22.048,18.6803,26.4343,1,24.308348,1399,5,ZTF20acoioem,Fink,4.000524,0.8842857,42,0.026750000000000003,0.107,0.12012342000000001,0,18.7,2060,0,1219.08,2839.0369,,Solar System MPC,2020-10-31 05:04:22.999,2020-10-31 05:04:22.999,0.0,Pisces,6.0238422588,2459153.7113773,17.8628743449655,18.86032114144,0.2418,6.042797867107764,2020.8311786265024,5.8295197144848405,5.8295197144848405
72,156,2459140.775764,00:38:30.44,0.3446549692,190.7351015548,61.187188257,17.9176878554,18.8614128472,18.4378918245,18.8995918245,18.1461918245,0.9955087143,160.7972743149,1.1409233619,-0.0961353908,-0.0463303188,10.2550766794,4.4570154167,4.9495722222000005,6.0545874111,2.7720732778,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1386275594315015030,7.440607,0.983,4.94957,20.780617,2.4273527,7.1144743,0.99973595,1,447,t,2459140.7755903,2459140.7755903,2459140.7755903,20.320576,22.55,18.67003,26.32903,1,19.041624,1386,6,ZTF20ackokoj,Fink,4.4569967,0.9857142600000001,43,0.5,0.169,0.07673558,0,18.7,2060,0,2678.5889,1805.9396,,Solar System MPC,2020-10-18 06:36:51.002,2020-10-18 06:36:51.002,0.0,Pisces,6.0257490616,2459140.7755903,17.8709081408293,18.86061771163,0.4312,6.031517325643286,2020.795834946175,5.900527452720231,5.900527452720231
