,index,Date,LAST,HA,Az,H,Dobs,Dhelio,VMag,SDSS:g,SDSS:r,Phase,Elong.,AM,dRAcosDEC,dDEC,RV,RA,Dec,Longitude,Latitude,d:DR3Name,d:Plx,d:anomaly_score,d:cdsxmatch,d:e_Plx,d:gcvs,d:mangrove_2MASS_name,d:mangrove_HyperLEDA_name,d:mangrove_ang_dist,d:mangrove_lum_dist,d:mulens,d:rf_kn_vs_nonkn,d:rf_snia_vs_nonia,d:roid,d:snn_sn_vs_all,d:snn_snia_vs_nonia,d:t2_AGN,d:t2_EB,d:t2_KN,d:t2_M-dwarf,d:t2_Mira,d:t2_RRL,d:t2_SLSN-I,d:t2_SNII,d:t2_SNIa,d:t2_SNIa-91bg,d:t2_SNIax,d:t2_SNIbc,d:t2_TDE,d:t2_mu-Lens-Single,d:vsx,d:x3hsp,d:x4lac,i:candid,i:chipsf,i:classtar,i:dec,i:diffmaglim,i:distnr,i:distpsnr1,i:drb,i:fid,i:field,i:isdiffpos,i:jd,i:jdendhist,i:jdstarthist,i:maggaia,i:magnr,i:magpsf,i:magzpsci,i:ndethist,i:neargaia,i:nid,i:nmtchps,i:objectId,i:publisher,i:ra,i:rb,i:rcid,i:sgscore1,i:sigmagnr,i:sigmapsf,i:ssdistnr,i:ssmagnr,i:ssnamenr,i:tooflag,i:xpos,i:ypos,d:tracklet,v:classification,v:lastdate,v:firstdate,v:lapse,v:constellation,i:magpsf_red,Julian date,delta,r,alpha,reduced_mag,DecimalYear,reduced_mag_alpha_corr,reduced_mag_alpha_corr_quiescent
73,136,2459229.625451,02:52:21.46,2.628830613,240.3326813289,43.2033997556,19.1770333334,18.8664518616,18.7262277456,19.1879277456,18.4345277456,2.8117451882999998,70.1944772983,1.4589622567,0.0634289132,0.0192915448,28.5540295187,3.6569420833,4.3054463889,5.0658396806,2.4976870278,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1475125272515015004,1.370797,0.981,4.3054514,19.704302,1.7764227,12.214045,0.9999562999999999,2,447,t,2459229.6252778,2459229.6252778,2459229.6252778,15.993101,22.434,18.519018,26.323017,1,37.328144,1475,2,ZTF21aaeptaf,Fink,3.6569323000000002,0.8542856999999999,25,0.936375,0.182,0.092022985,0,18.9,2060,0,2391.9333,572.4073,,Solar System MPC,2021-01-15 03:00:24.002,2021-01-15 03:00:24.002,0.0,Pisces,5.7266597253,2459229.6252778,18.7155759533986,18.86518832252,2.9645,5.779696292190856,2021.038699391233,5.437734712925627,5.437734712925627
74,137,2459227.645498,03:13:25.14,2.9831825622,245.0284459732,39.2486941986,19.1444713384,18.8663670718,18.7246595979,19.1863595979,18.4329595979,2.844543289,72.1584681591,1.5780399861999999,0.0598183752,0.0175786481,28.9112133203,3.60699625,4.2907761111,5.0142567778,2.5040151667,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1473145322515015002,1.3148019,0.982,4.2908005,19.24168,10.931108,21.923313,0.99999964,2,447,t,2459227.6453241,2459227.6453241,2459227.6453241,18.616442,23.292,18.507172,25.847172,1,21.9249,1473,1,ZTF21aadsxqq,Fink,3.6070126,0.9257143,25,0.9748749999999999,0.34800000000000003,0.08860662600000001,0,18.9,2060,0,2568.9446,638.6448,,Solar System MPC,2021-01-13 03:29:16.002,2021-01-13 03:29:16.002,0.0,Pisces,5.7185137095,2459227.6453241,19.0944562969111,18.86623667155,2.8869,5.724209125750432,2021.0332748605474,5.378258674961944,5.378258674961944
75,140,2459224.643588,02:58:49.96,2.7447462944,241.8987406102,41.9084296469,19.0944283529,18.8662361217,18.7217728329,19.1834728329,18.4300728329,2.8880255892,75.1433278837,1.4951559707,0.053988040800000005,0.014959175100000001,29.3270348869,3.5369825,4.2711325,4.9423126139,2.5137340833,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1470143412515015004,2.1769388,0.983,4.271109,19.96755,6.8182874,14.759049,0.99999964,2,447,t,2459224.6434144,2459224.6434144,2459224.6434144,19.433363,22.885,18.53678,26.319778,1,14.761001,1470,2,ZTF21aacveox,Fink,3.5369794,0.95714283,25,0.996667,0.24,0.07069442000000001,0,18.9,2060,0,2840.6143,710.2068,,Solar System MPC,2021-01-10 03:26:31.004,2021-01-10 03:26:31.004,0.0,Pisces,5.7538203669,2459224.6434144,19.1444978258875,18.86636762443,2.8434,5.7481186415447745,2021.025050450411,5.396879917797431,5.396879917797431
76,142,2459202.631424,01:14:31.86,1.0258616143000001,209.5304559466,57.527020617,18.7155406747,18.8651877918,18.6831085342,19.1448085342,18.3914085342,2.9656161711,97.2624644359,1.1848190153,0.008607796000000001,-0.0049894447,29.9313901181,3.2448125,4.2260111111,4.6567325444000005,2.5881408056,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1448131242815015007,2.15412,0.983,4.2259878,20.049593,2.1509833,23.444857,0.9999933999999999,2,447,t,2459202.63125,2459202.63125,2459202.63125,20.145212,23.172,18.395645,26.341646,1,39.64747,1448,3,ZTF20acymwbj,Fink,3.2448236,0.95714283,28,0.5,0.361,0.07632545,0,18.9,2060,0,347.7945,878.3912,,Solar System MPC,2020-12-19 03:09:00.000,2020-12-19 03:09:00.000,0.0,Pisces,5.6563274465,2459202.63125,19.1770620707702,18.86645241608,2.8106,5.603283407416486,2020.9648394808746,5.242608196311383,5.242608196311383
77,144,2459195.702153,02:29:03.63,2.2685588536,234.8756181261,46.975483876,18.5973590675,18.8648257278,18.6650309175,19.1267309175,18.3733309175,2.8988481068,104.3080211409,1.3666012502,-0.005902791,-0.0113815161,29.3698711633,3.2367274999999998,4.2485816667,4.6583089806,2.6120564166999998,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1441201972815015005,1.8003087999999998,0.983,4.2485615,20.336763,11.7325,12.604341999999999,1.0,2,447,t,2459195.7019792,2459195.7019792,2459195.7019792,17.979595,22.836,18.415945,26.323944,1,30.357521,1441,2,ZTF20acxbyvt,Fink,3.2367309,0.9614286,28,0.0,0.26,0.06372925,0,18.9,2060,0,358.9113,797.2251,,Solar System MPC,2020-12-12 04:50:51.003,2020-12-12 04:50:51.003,0.0,Pisces,5.6904246308,2459195.7019792,18.9621404833848,18.86910685832,3.0676,5.6477514813404355,2020.9459070469943,5.295196534051385,5.295196534051385
78,146,2459193.619387,00:21:39.96,0.14494209700000002,184.4518654179,60.8308825934,18.5624568236,18.864713902,18.6590821847,19.1207821847,18.3673821847,2.8700662569,106.4328786191,1.1448505266,-0.0105937375,-0.013184371200000001,28.8720806887,3.2423554167,4.2587858333,4.6675249917,2.6191883889,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1439119212815015001,1.0090123,0.971,4.2587615,18.741474,5.2382584,23.062616,0.9842372500000001,2,447,t,2459193.619213,2459193.619213,2459193.619213,19.949718,23.032999,18.667858,25.036858,1,36.94763,1439,3,ZTF20acwfpdr,Fink,3.2423471,0.62857145,28,0.00229167,0.222,0.18325332,0,18.9,2060,0,370.8787,758.8161,,Solar System MPC,2020-12-10 02:51:40.003,2020-12-10 02:51:40.003,0.0,Pisces,5.9464296017,2459193.619213,18.7783640583801,18.86897714915,3.0838,5.9208274346949175,2020.9402164289615,5.571772906607057,5.571772906607057
79,147,2459190.654688,01:00:48.66,0.7964115425,203.5242864095,58.8583222629,18.5134502139,18.8645523343,18.6502310943,19.1119310943,18.3585310943,2.8223801297,109.4606191703,1.1679160443,-0.016759507400000002,-0.0158266442,28.4493425513,3.25656875,4.2759747222,4.6873851972,2.6293256111,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1436154512815015005,3.9193547,0.984,4.2759658,20.23886,12.289536,13.509041,1.0,2,447,t,2459190.6545139,2459190.6545139,2459190.6545139,14.216918,22.776,18.409376,26.239376,1,21.375889,1436,6,ZTF20acvnhjv,Fink,3.2565618,0.9842856999999999,28,0.058916699999999995,0.227,0.05502772,0,18.9,2060,0,311.7352,679.7815,,Solar System MPC,2020-12-07 03:42:30.001,2020-12-07 03:42:30.001,0.0,Pisces,5.6937066693,2459190.6545139,18.7447790586134,18.86894921311,3.0755,5.666235793063779,2020.9321161581972,5.322980803082788,5.322980803082788
80,148,2459188.740602,02:56:58.84,2.7317031563,241.7391642085,42.0643279701,18.4822885027,18.8644465306,18.6442816326,19.1059816326,18.3525816326,2.7874251638,111.4171622261,1.4906637333,-0.0203328978,-0.017549195,28.2681437921,3.2696025,4.2887077778,4.7043910861,2.6358422778,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1434240422815015002,2.441139,0.999,4.2886866999999995,19.709402,7.6398516,27.009071,0.9999802999999999,2,447,t,2459188.7404282,2459188.7404282,2459188.7404282,17.903421,23.063,18.434015,26.317017,1,34.520653,1434,1,ZTF20acvcgag,Fink,3.2695963,0.9257143,28,0.19833299999999998,0.352,0.09136437600000001,0,18.9,2060,0,240.3611,631.4241,,Solar System MPC,2020-12-05 05:46:12.996,2020-12-05 05:46:12.996,0.0,Pisces,5.722015935,2459188.7404282,18.7114847638258,18.86892013739,3.0639,5.694738516786732,2020.9268864158469,5.355734714072661,5.355734714072661
81,151,2459155.74897,00:58:57.41,0.7202272745,201.6740931262,59.6141600873,18.0374222691,18.8624389265,18.5145010016,18.9762010016,18.2228010016,1.7122189829,145.3872786626,1.1588069314,-0.0795250649,-0.0408192841,17.3690845022,3.9358183333000003,4.6868288889,5.4729263667,2.7372128611,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1401248794215015013,3.7734654,0.983,4.6868055,19.83265,6.2516513,9.472939,0.99999976,2,447,t,2459155.7487963,2459155.7487963,2459155.7487963,20.451466,22.8,18.309422,26.41842,1,9.48108,1401,7,ZTF20acorcdu,Fink,3.9358063999999997,0.9557142999999999,42,0.995,0.25,0.06629165000000001,0,18.7,2060,0,1460.624,2932.9658,,Solar System MPC,2020-11-02 05:58:16.000,2020-11-02 05:58:16.000,0.0,Pisces,5.6505604042,2459155.7487963,18.6618214745238,18.86887409723,3.0399,5.575921914229852,2020.8367453450821,5.367683589549231,5.367683589549231
82,153,2459153.826655,02:43:14.67,2.4542901645,238.2187077549,45.3699135945,18.0186935535,18.8623112182,18.5053947885,18.9670947885,18.2136947885,1.6261826212,147.3696023348,1.4037097661,-0.08175742030000001,-0.041795083600000005,16.6795503064,3.9967662500000003,4.7185480556,5.5413496056,2.7421897222,nan,,,Unknown,,nan,nan,nan,nan,nan,0,0,0,3,0,0,,,,,,,,,,,,,,,nan,nan,nan,1399326484215015011,1.2780086,0.984,4.7185099,19.163177,6.093706,12.099041,0.99998593,2,447,t,2459153.8264815,2459153.8264815,2459153.8264815,18.770811,23.222,18.307312,26.401312,1,24.266272999999998,1399,5,ZTF20acoixbt,Fink,3.9967789,0.84,42,0.186385,0.359,0.114870735,0,18.7,2060,0,1216.7738,2822.0693,,Solar System MPC,2020-10-31 07:50:08.002,2020-10-31 07:50:08.002,0.0,Pisces,5.6507209728,2459153.8264815,18.5959184642543,18.86880774357,2.9955,5.581501536342209,2020.831493118853,5.383726866136251,5.383726866136251
